STATISTIC Label,Year,Age Group,Sex,UNIT,VALUE
Population Estimates (Persons in April),1959,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1959,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1959,0 - 14 years,Both sexes,Thousand,874
Population Estimates (Persons in April),1959,0 - 14 years,Male,Thousand,447
Population Estimates (Persons in April),1959,0 - 14 years,Female,Thousand,427
Population Estimates (Persons in April),1959,1 - 4 years,Both sexes,Thousand,241
Population Estimates (Persons in April),1959,1 - 4 years,Male,Thousand,123
Population Estimates (Persons in April),1959,1 - 4 years,Female,Thousand,118
Population Estimates (Persons in April),1959,5 - 9 years,Both sexes,Thousand,291
Population Estimates (Persons in April),1959,5 - 9 years,Male,Thousand,149
Population Estimates (Persons in April),1959,5 - 9 years,Female,Thousand,142
Population Estimates (Persons in April),1959,10 - 14 years,Both sexes,Thousand,284
Population Estimates (Persons in April),1959,10 - 14 years,Male,Thousand,145
Population Estimates (Persons in April),1959,10 - 14 years,Female,Thousand,138
Population Estimates (Persons in April),1959,15 - 19 years,Both sexes,Thousand,233
Population Estimates (Persons in April),1959,15 - 19 years,Male,Thousand,121
Population Estimates (Persons in April),1959,15 - 19 years,Female,Thousand,112
Population Estimates (Persons in April),1959,15 - 24 years,Both sexes,Thousand,399
Population Estimates (Persons in April),1959,15 - 24 years,Male,Thousand,205
Population Estimates (Persons in April),1959,15 - 24 years,Female,Thousand,194
Population Estimates (Persons in April),1959,15 years and over,Both sexes,Thousand,1972
Population Estimates (Persons in April),1959,15 years and over,Male,Thousand,988
Population Estimates (Persons in April),1959,15 years and over,Female,Thousand,984
Population Estimates (Persons in April),1959,20 - 24 years,Both sexes,Thousand,166
Population Estimates (Persons in April),1959,20 - 24 years,Male,Thousand,85
Population Estimates (Persons in April),1959,20 - 24 years,Female,Thousand,81
Population Estimates (Persons in April),1959,25 - 29 years,Both sexes,Thousand,155
Population Estimates (Persons in April),1959,25 - 29 years,Male,Thousand,77
Population Estimates (Persons in April),1959,25 - 29 years,Female,Thousand,78
Population Estimates (Persons in April),1959,25 - 44 years,Both sexes,Thousand,664
Population Estimates (Persons in April),1959,25 - 44 years,Male,Thousand,330
Population Estimates (Persons in April),1959,25 - 44 years,Female,Thousand,335
Population Estimates (Persons in April),1959,30 - 34 years,Both sexes,Thousand,161
Population Estimates (Persons in April),1959,30 - 34 years,Male,Thousand,80
Population Estimates (Persons in April),1959,30 - 34 years,Female,Thousand,82
Population Estimates (Persons in April),1959,35 - 39 years,Both sexes,Thousand,173
Population Estimates (Persons in April),1959,35 - 39 years,Male,Thousand,85
Population Estimates (Persons in April),1959,35 - 39 years,Female,Thousand,88
Population Estimates (Persons in April),1959,40 - 44 years,Both sexes,Thousand,176
Population Estimates (Persons in April),1959,40 - 44 years,Male,Thousand,88
Population Estimates (Persons in April),1959,40 - 44 years,Female,Thousand,87
Population Estimates (Persons in April),1959,45 - 49 years,Both sexes,Thousand,174
Population Estimates (Persons in April),1959,45 - 49 years,Male,Thousand,89
Population Estimates (Persons in April),1959,45 - 49 years,Female,Thousand,85
Population Estimates (Persons in April),1959,45 - 64 years,Both sexes,Thousand,594
Population Estimates (Persons in April),1959,45 - 64 years,Male,Thousand,302
Population Estimates (Persons in April),1959,45 - 64 years,Female,Thousand,292
Population Estimates (Persons in April),1959,50 - 54 years,Both sexes,Thousand,153
Population Estimates (Persons in April),1959,50 - 54 years,Male,Thousand,79
Population Estimates (Persons in April),1959,50 - 54 years,Female,Thousand,74
Population Estimates (Persons in April),1959,55 - 59 years,Both sexes,Thousand,142
Population Estimates (Persons in April),1959,55 - 59 years,Male,Thousand,72
Population Estimates (Persons in April),1959,55 - 59 years,Female,Thousand,70
Population Estimates (Persons in April),1959,60 - 64 years,Both sexes,Thousand,125
Population Estimates (Persons in April),1959,60 - 64 years,Male,Thousand,62
Population Estimates (Persons in April),1959,60 - 64 years,Female,Thousand,64
Population Estimates (Persons in April),1959,65 - 69 years,Both sexes,Thousand,105
Population Estimates (Persons in April),1959,65 - 69 years,Male,Thousand,53
Population Estimates (Persons in April),1959,65 - 69 years,Female,Thousand,53
Population Estimates (Persons in April),1959,65 years and over,Both sexes,Thousand,315
Population Estimates (Persons in April),1959,65 years and over,Male,Thousand,152
Population Estimates (Persons in April),1959,65 years and over,Female,Thousand,164
Population Estimates (Persons in April),1959,70 - 74 years,Both sexes,Thousand,93
Population Estimates (Persons in April),1959,70 - 74 years,Male,Thousand,45
Population Estimates (Persons in April),1959,70 - 74 years,Female,Thousand,48
Population Estimates (Persons in April),1959,75 - 79 years,Both sexes,Thousand,64
Population Estimates (Persons in April),1959,75 - 79 years,Male,Thousand,31
Population Estimates (Persons in April),1959,75 - 79 years,Female,Thousand,34
Population Estimates (Persons in April),1959,80 - 84 years,Both sexes,Thousand,35
Population Estimates (Persons in April),1959,80 - 84 years,Male,Thousand,16
Population Estimates (Persons in April),1959,80 - 84 years,Female,Thousand,19
Population Estimates (Persons in April),1959,85 years and over,Both sexes,Thousand,18
Population Estimates (Persons in April),1959,85 years and over,Male,Thousand,8
Population Estimates (Persons in April),1959,85 years and over,Female,Thousand,10
Population Estimates (Persons in April),1959,All ages,Both sexes,Thousand,2846
Population Estimates (Persons in April),1959,All ages,Male,Thousand,1435
Population Estimates (Persons in April),1959,All ages,Female,Thousand,1411
Population Estimates (Persons in April),1960,Under 1 year,Both sexes,Thousand,59
Population Estimates (Persons in April),1960,Under 1 year,Male,Thousand,30
Population Estimates (Persons in April),1960,Under 1 year,Female,Thousand,29
Population Estimates (Persons in April),1960,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1960,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1960,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1960,0 - 14 years,Both sexes,Thousand,876
Population Estimates (Persons in April),1960,0 - 14 years,Male,Thousand,448
Population Estimates (Persons in April),1960,0 - 14 years,Female,Thousand,427
Population Estimates (Persons in April),1960,1 - 4 years,Both sexes,Thousand,241
Population Estimates (Persons in April),1960,1 - 4 years,Male,Thousand,123
Population Estimates (Persons in April),1960,1 - 4 years,Female,Thousand,118
Population Estimates (Persons in April),1960,5 - 9 years,Both sexes,Thousand,289
Population Estimates (Persons in April),1960,5 - 9 years,Male,Thousand,148
Population Estimates (Persons in April),1960,5 - 9 years,Female,Thousand,141
Population Estimates (Persons in April),1960,10 - 14 years,Both sexes,Thousand,286
Population Estimates (Persons in April),1960,10 - 14 years,Male,Thousand,147
Population Estimates (Persons in April),1960,10 - 14 years,Female,Thousand,139
Population Estimates (Persons in April),1960,15 - 19 years,Both sexes,Thousand,233
Population Estimates (Persons in April),1960,15 - 19 years,Male,Thousand,121
Population Estimates (Persons in April),1960,15 - 19 years,Female,Thousand,113
Population Estimates (Persons in April),1960,15 - 24 years,Both sexes,Thousand,395
Population Estimates (Persons in April),1960,15 - 24 years,Male,Thousand,203
Population Estimates (Persons in April),1960,15 - 24 years,Female,Thousand,192
Population Estimates (Persons in April),1960,15 years and over,Both sexes,Thousand,1957
Population Estimates (Persons in April),1960,15 years and over,Male,Thousand,979
Population Estimates (Persons in April),1960,15 years and over,Female,Thousand,978
Population Estimates (Persons in April),1960,20 - 24 years,Both sexes,Thousand,162
Population Estimates (Persons in April),1960,20 - 24 years,Male,Thousand,83
Population Estimates (Persons in April),1960,20 - 24 years,Female,Thousand,79
Population Estimates (Persons in April),1960,25 - 29 years,Both sexes,Thousand,150
Population Estimates (Persons in April),1960,25 - 29 years,Male,Thousand,75
Population Estimates (Persons in April),1960,25 - 29 years,Female,Thousand,75
Population Estimates (Persons in April),1960,25 - 44 years,Both sexes,Thousand,650
Population Estimates (Persons in April),1960,25 - 44 years,Male,Thousand,322
Population Estimates (Persons in April),1960,25 - 44 years,Female,Thousand,328
Population Estimates (Persons in April),1960,30 - 34 years,Both sexes,Thousand,157
Population Estimates (Persons in April),1960,30 - 34 years,Male,Thousand,77
Population Estimates (Persons in April),1960,30 - 34 years,Female,Thousand,80
Population Estimates (Persons in April),1960,35 - 39 years,Both sexes,Thousand,170
Population Estimates (Persons in April),1960,35 - 39 years,Male,Thousand,83
Population Estimates (Persons in April),1960,35 - 39 years,Female,Thousand,87
Population Estimates (Persons in April),1960,40 - 44 years,Both sexes,Thousand,173
Population Estimates (Persons in April),1960,40 - 44 years,Male,Thousand,87
Population Estimates (Persons in April),1960,40 - 44 years,Female,Thousand,86
Population Estimates (Persons in April),1960,45 - 49 years,Both sexes,Thousand,174
Population Estimates (Persons in April),1960,45 - 49 years,Male,Thousand,89
Population Estimates (Persons in April),1960,45 - 49 years,Female,Thousand,85
Population Estimates (Persons in April),1960,45 - 64 years,Both sexes,Thousand,596
Population Estimates (Persons in April),1960,45 - 64 years,Male,Thousand,303
Population Estimates (Persons in April),1960,45 - 64 years,Female,Thousand,293
Population Estimates (Persons in April),1960,50 - 54 years,Both sexes,Thousand,155
Population Estimates (Persons in April),1960,50 - 54 years,Male,Thousand,81
Population Estimates (Persons in April),1960,50 - 54 years,Female,Thousand,75
Population Estimates (Persons in April),1960,55 - 59 years,Both sexes,Thousand,139
Population Estimates (Persons in April),1960,55 - 59 years,Male,Thousand,70
Population Estimates (Persons in April),1960,55 - 59 years,Female,Thousand,69
Population Estimates (Persons in April),1960,60 - 64 years,Both sexes,Thousand,128
Population Estimates (Persons in April),1960,60 - 64 years,Male,Thousand,63
Population Estimates (Persons in April),1960,60 - 64 years,Female,Thousand,65
Population Estimates (Persons in April),1960,65 - 69 years,Both sexes,Thousand,104
Population Estimates (Persons in April),1960,65 - 69 years,Male,Thousand,52
Population Estimates (Persons in April),1960,65 - 69 years,Female,Thousand,52
Population Estimates (Persons in April),1960,65 years and over,Both sexes,Thousand,315
Population Estimates (Persons in April),1960,65 years and over,Male,Thousand,151
Population Estimates (Persons in April),1960,65 years and over,Female,Thousand,164
Population Estimates (Persons in April),1960,70 - 74 years,Both sexes,Thousand,93
Population Estimates (Persons in April),1960,70 - 74 years,Male,Thousand,44
Population Estimates (Persons in April),1960,70 - 74 years,Female,Thousand,48
Population Estimates (Persons in April),1960,75 - 79 years,Both sexes,Thousand,64
Population Estimates (Persons in April),1960,75 - 79 years,Male,Thousand,30
Population Estimates (Persons in April),1960,75 - 79 years,Female,Thousand,34
Population Estimates (Persons in April),1960,80 - 84 years,Both sexes,Thousand,36
Population Estimates (Persons in April),1960,80 - 84 years,Male,Thousand,16
Population Estimates (Persons in April),1960,80 - 84 years,Female,Thousand,20
Population Estimates (Persons in April),1960,85 years and over,Both sexes,Thousand,18
Population Estimates (Persons in April),1960,85 years and over,Male,Thousand,8
Population Estimates (Persons in April),1960,85 years and over,Female,Thousand,10
Population Estimates (Persons in April),1960,All ages,Both sexes,Thousand,2832
Population Estimates (Persons in April),1960,All ages,Male,Thousand,1427
Population Estimates (Persons in April),1960,All ages,Female,Thousand,1405
Population Estimates (Persons in April),1961,Under 1 year,Both sexes,Thousand,63
Population Estimates (Persons in April),1961,Under 1 year,Male,Thousand,32
Population Estimates (Persons in April),1961,Under 1 year,Female,Thousand,31
Population Estimates (Persons in April),1961,0 - 4 years,Both sexes,Thousand,301
Population Estimates (Persons in April),1961,0 - 4 years,Male,Thousand,153
Population Estimates (Persons in April),1961,0 - 4 years,Female,Thousand,147
Population Estimates (Persons in April),1961,0 - 14 years,Both sexes,Thousand,877
Population Estimates (Persons in April),1961,0 - 14 years,Male,Thousand,449
Population Estimates (Persons in April),1961,0 - 14 years,Female,Thousand,429
Population Estimates (Persons in April),1961,1 - 4 years,Both sexes,Thousand,238
Population Estimates (Persons in April),1961,1 - 4 years,Male,Thousand,121
Population Estimates (Persons in April),1961,1 - 4 years,Female,Thousand,117
Population Estimates (Persons in April),1961,5 - 9 years,Both sexes,Thousand,288
Population Estimates (Persons in April),1961,5 - 9 years,Male,Thousand,147
Population Estimates (Persons in April),1961,5 - 9 years,Female,Thousand,141
Population Estimates (Persons in April),1961,10 - 14 years,Both sexes,Thousand,289
Population Estimates (Persons in April),1961,10 - 14 years,Male,Thousand,148
Population Estimates (Persons in April),1961,10 - 14 years,Female,Thousand,141
Population Estimates (Persons in April),1961,15 - 19 years,Both sexes,Thousand,234
Population Estimates (Persons in April),1961,15 - 19 years,Male,Thousand,120
Population Estimates (Persons in April),1961,15 - 19 years,Female,Thousand,114
Population Estimates (Persons in April),1961,15 - 24 years,Both sexes,Thousand,392
Population Estimates (Persons in April),1961,15 - 24 years,Male,Thousand,201
Population Estimates (Persons in April),1961,15 - 24 years,Female,Thousand,191
Population Estimates (Persons in April),1961,15 years and over,Both sexes,Thousand,1941
Population Estimates (Persons in April),1961,15 years and over,Male,Thousand,968
Population Estimates (Persons in April),1961,15 years and over,Female,Thousand,973
Population Estimates (Persons in April),1961,20 - 24 years,Both sexes,Thousand,158
Population Estimates (Persons in April),1961,20 - 24 years,Male,Thousand,80
Population Estimates (Persons in April),1961,20 - 24 years,Female,Thousand,78
Population Estimates (Persons in April),1961,25 - 29 years,Both sexes,Thousand,145
Population Estimates (Persons in April),1961,25 - 29 years,Male,Thousand,72
Population Estimates (Persons in April),1961,25 - 29 years,Female,Thousand,73
Population Estimates (Persons in April),1961,25 - 44 years,Both sexes,Thousand,635
Population Estimates (Persons in April),1961,25 - 44 years,Male,Thousand,314
Population Estimates (Persons in April),1961,25 - 44 years,Female,Thousand,321
Population Estimates (Persons in April),1961,30 - 34 years,Both sexes,Thousand,153
Population Estimates (Persons in April),1961,30 - 34 years,Male,Thousand,75
Population Estimates (Persons in April),1961,30 - 34 years,Female,Thousand,78
Population Estimates (Persons in April),1961,35 - 39 years,Both sexes,Thousand,167
Population Estimates (Persons in April),1961,35 - 39 years,Male,Thousand,82
Population Estimates (Persons in April),1961,35 - 39 years,Female,Thousand,85
Population Estimates (Persons in April),1961,40 - 44 years,Both sexes,Thousand,170
Population Estimates (Persons in April),1961,40 - 44 years,Male,Thousand,85
Population Estimates (Persons in April),1961,40 - 44 years,Female,Thousand,86
Population Estimates (Persons in April),1961,45 - 49 years,Both sexes,Thousand,175
Population Estimates (Persons in April),1961,45 - 49 years,Male,Thousand,89
Population Estimates (Persons in April),1961,45 - 49 years,Female,Thousand,86
Population Estimates (Persons in April),1961,45 - 64 years,Both sexes,Thousand,599
Population Estimates (Persons in April),1961,45 - 64 years,Male,Thousand,304
Population Estimates (Persons in April),1961,45 - 64 years,Female,Thousand,295
Population Estimates (Persons in April),1961,50 - 54 years,Both sexes,Thousand,157
Population Estimates (Persons in April),1961,50 - 54 years,Male,Thousand,82
Population Estimates (Persons in April),1961,50 - 54 years,Female,Thousand,75
Population Estimates (Persons in April),1961,55 - 59 years,Both sexes,Thousand,136
Population Estimates (Persons in April),1961,55 - 59 years,Male,Thousand,69
Population Estimates (Persons in April),1961,55 - 59 years,Female,Thousand,68
Population Estimates (Persons in April),1961,60 - 64 years,Both sexes,Thousand,131
Population Estimates (Persons in April),1961,60 - 64 years,Male,Thousand,64
Population Estimates (Persons in April),1961,60 - 64 years,Female,Thousand,67
Population Estimates (Persons in April),1961,65 - 69 years,Both sexes,Thousand,104
Population Estimates (Persons in April),1961,65 - 69 years,Male,Thousand,51
Population Estimates (Persons in April),1961,65 - 69 years,Female,Thousand,52
Population Estimates (Persons in April),1961,65 years and over,Both sexes,Thousand,315
Population Estimates (Persons in April),1961,65 years and over,Male,Thousand,149
Population Estimates (Persons in April),1961,65 years and over,Female,Thousand,166
Population Estimates (Persons in April),1961,70 - 74 years,Both sexes,Thousand,93
Population Estimates (Persons in April),1961,70 - 74 years,Male,Thousand,44
Population Estimates (Persons in April),1961,70 - 74 years,Female,Thousand,49
Population Estimates (Persons in April),1961,75 - 79 years,Both sexes,Thousand,63
Population Estimates (Persons in April),1961,75 - 79 years,Male,Thousand,30
Population Estimates (Persons in April),1961,75 - 79 years,Female,Thousand,34
Population Estimates (Persons in April),1961,80 - 84 years,Both sexes,Thousand,37
Population Estimates (Persons in April),1961,80 - 84 years,Male,Thousand,17
Population Estimates (Persons in April),1961,80 - 84 years,Female,Thousand,20
Population Estimates (Persons in April),1961,85 years and over,Both sexes,Thousand,19
Population Estimates (Persons in April),1961,85 years and over,Male,Thousand,8
Population Estimates (Persons in April),1961,85 years and over,Female,Thousand,11
Population Estimates (Persons in April),1961,All ages,Both sexes,Thousand,2818
Population Estimates (Persons in April),1961,All ages,Male,Thousand,1417
Population Estimates (Persons in April),1961,All ages,Female,Thousand,1402
Population Estimates (Persons in April),1962,Under 1 year,Both sexes,Thousand,61
Population Estimates (Persons in April),1962,Under 1 year,Male,Thousand,31
Population Estimates (Persons in April),1962,Under 1 year,Female,Thousand,30
Population Estimates (Persons in April),1962,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1962,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1962,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1962,0 - 14 years,Both sexes,Thousand,882
Population Estimates (Persons in April),1962,0 - 14 years,Male,Thousand,451
Population Estimates (Persons in April),1962,0 - 14 years,Female,Thousand,431
Population Estimates (Persons in April),1962,1 - 4 years,Both sexes,Thousand,243
Population Estimates (Persons in April),1962,1 - 4 years,Male,Thousand,124
Population Estimates (Persons in April),1962,1 - 4 years,Female,Thousand,119
Population Estimates (Persons in April),1962,5 - 9 years,Both sexes,Thousand,290
Population Estimates (Persons in April),1962,5 - 9 years,Male,Thousand,148
Population Estimates (Persons in April),1962,5 - 9 years,Female,Thousand,142
Population Estimates (Persons in April),1962,10 - 14 years,Both sexes,Thousand,288
Population Estimates (Persons in April),1962,10 - 14 years,Male,Thousand,148
Population Estimates (Persons in April),1962,10 - 14 years,Female,Thousand,140
Population Estimates (Persons in April),1962,15 - 19 years,Both sexes,Thousand,239
Population Estimates (Persons in April),1962,15 - 19 years,Male,Thousand,123
Population Estimates (Persons in April),1962,15 - 19 years,Female,Thousand,116
Population Estimates (Persons in April),1962,15 - 24 years,Both sexes,Thousand,402
Population Estimates (Persons in April),1962,15 - 24 years,Male,Thousand,206
Population Estimates (Persons in April),1962,15 - 24 years,Female,Thousand,196
Population Estimates (Persons in April),1962,15 years and over,Both sexes,Thousand,1949
Population Estimates (Persons in April),1962,15 years and over,Male,Thousand,972
Population Estimates (Persons in April),1962,15 years and over,Female,Thousand,977
Population Estimates (Persons in April),1962,20 - 24 years,Both sexes,Thousand,163
Population Estimates (Persons in April),1962,20 - 24 years,Male,Thousand,83
Population Estimates (Persons in April),1962,20 - 24 years,Female,Thousand,80
Population Estimates (Persons in April),1962,25 - 29 years,Both sexes,Thousand,146
Population Estimates (Persons in April),1962,25 - 29 years,Male,Thousand,73
Population Estimates (Persons in April),1962,25 - 29 years,Female,Thousand,73
Population Estimates (Persons in April),1962,25 - 44 years,Both sexes,Thousand,631
Population Estimates (Persons in April),1962,25 - 44 years,Male,Thousand,312
Population Estimates (Persons in April),1962,25 - 44 years,Female,Thousand,318
Population Estimates (Persons in April),1962,30 - 34 years,Both sexes,Thousand,151
Population Estimates (Persons in April),1962,30 - 34 years,Male,Thousand,75
Population Estimates (Persons in April),1962,30 - 34 years,Female,Thousand,77
Population Estimates (Persons in April),1962,35 - 39 years,Both sexes,Thousand,164
Population Estimates (Persons in April),1962,35 - 39 years,Male,Thousand,81
Population Estimates (Persons in April),1962,35 - 39 years,Female,Thousand,84
Population Estimates (Persons in April),1962,40 - 44 years,Both sexes,Thousand,169
Population Estimates (Persons in April),1962,40 - 44 years,Male,Thousand,84
Population Estimates (Persons in April),1962,40 - 44 years,Female,Thousand,85
Population Estimates (Persons in April),1962,45 - 49 years,Both sexes,Thousand,173
Population Estimates (Persons in April),1962,45 - 49 years,Male,Thousand,88
Population Estimates (Persons in April),1962,45 - 49 years,Female,Thousand,85
Population Estimates (Persons in April),1962,45 - 64 years,Both sexes,Thousand,599
Population Estimates (Persons in April),1962,45 - 64 years,Male,Thousand,304
Population Estimates (Persons in April),1962,45 - 64 years,Female,Thousand,295
Population Estimates (Persons in April),1962,50 - 54 years,Both sexes,Thousand,159
Population Estimates (Persons in April),1962,50 - 54 years,Male,Thousand,82
Population Estimates (Persons in April),1962,50 - 54 years,Female,Thousand,76
Population Estimates (Persons in April),1962,55 - 59 years,Both sexes,Thousand,138
Population Estimates (Persons in April),1962,55 - 59 years,Male,Thousand,70
Population Estimates (Persons in April),1962,55 - 59 years,Female,Thousand,68
Population Estimates (Persons in April),1962,60 - 64 years,Both sexes,Thousand,130
Population Estimates (Persons in April),1962,60 - 64 years,Male,Thousand,64
Population Estimates (Persons in April),1962,60 - 64 years,Female,Thousand,66
Population Estimates (Persons in April),1962,65 - 69 years,Both sexes,Thousand,106
Population Estimates (Persons in April),1962,65 - 69 years,Male,Thousand,52
Population Estimates (Persons in April),1962,65 - 69 years,Female,Thousand,54
Population Estimates (Persons in April),1962,65 years and over,Both sexes,Thousand,317
Population Estimates (Persons in April),1962,65 years and over,Male,Thousand,149
Population Estimates (Persons in April),1962,65 years and over,Female,Thousand,167
Population Estimates (Persons in April),1962,70 - 74 years,Both sexes,Thousand,92
Population Estimates (Persons in April),1962,70 - 74 years,Male,Thousand,44
Population Estimates (Persons in April),1962,70 - 74 years,Female,Thousand,49
Population Estimates (Persons in April),1962,75 - 79 years,Both sexes,Thousand,63
Population Estimates (Persons in April),1962,75 - 79 years,Male,Thousand,30
Population Estimates (Persons in April),1962,75 - 79 years,Female,Thousand,34
Population Estimates (Persons in April),1962,80 - 84 years,Both sexes,Thousand,37
Population Estimates (Persons in April),1962,80 - 84 years,Male,Thousand,17
Population Estimates (Persons in April),1962,80 - 84 years,Female,Thousand,20
Population Estimates (Persons in April),1962,85 years and over,Both sexes,Thousand,19
Population Estimates (Persons in April),1962,85 years and over,Male,Thousand,8
Population Estimates (Persons in April),1962,85 years and over,Female,Thousand,11
Population Estimates (Persons in April),1962,All ages,Both sexes,Thousand,2830
Population Estimates (Persons in April),1962,All ages,Male,Thousand,1423
Population Estimates (Persons in April),1962,All ages,Female,Thousand,1407
Population Estimates (Persons in April),1963,Under 1 year,Both sexes,Thousand,62
Population Estimates (Persons in April),1963,Under 1 year,Male,Thousand,32
Population Estimates (Persons in April),1963,Under 1 year,Female,Thousand,30
Population Estimates (Persons in April),1963,0 - 4 years,Both sexes,Thousand,
Population Estimates (Persons in April),1963,0 - 4 years,Male,Thousand,
Population Estimates (Persons in April),1963,0 - 4 years,Female,Thousand,
Population Estimates (Persons in April),1963,0 - 14 years,Both sexes,Thousand,888
Population Estimates (Persons in April),1963,0 - 14 years,Male,Thousand,454
Population Estimates (Persons in April),1963,0 - 14 years,Female,Thousand,434
Population Estimates (Persons in April),1963,1 - 4 years,Both sexes,Thousand,245
Population Estimates (Persons in April),1963,1 - 4 years,Male,Thousand,125
Population Estimates (Persons in April),1963,1 - 4 years,Female,Thousand,120
Population Estimates (Persons in April),1963,5 - 9 years,Both sexes,Thousand,293
Population Estimates (Persons in April),1963,5 - 9 years,Male,Thousand,150
Population Estimates (Persons in April),1963,5 - 9 years,Female,Thousand,143
Population Estimates (Persons in April),1963,10 - 14 years,Both sexes,Thousand,288
Population Estimates (Persons in April),1963,10 - 14 years,Male,Thousand,148
Population Estimates (Persons in April),1963,10 - 14 years,Female,Thousand,140
Population Estimates (Persons in April),1963,15 - 19 years,Both sexes,Thousand,244
Population Estimates (Persons in April),1963,15 - 19 years,Male,Thousand,126
Population Estimates (Persons in April),1963,15 - 19 years,Female,Thousand,119
Population Estimates (Persons in April),1963,15 - 24 years,Both sexes,Thousand,414
Population Estimates (Persons in April),1963,15 - 24 years,Male,Thousand,212
Population Estimates (Persons in April),1963,15 - 24 years,Female,Thousand,202
Population Estimates (Persons in April),1963,15 years and over,Both sexes,Thousand,1962
Population Estimates (Persons in April),1963,15 years and over,Male,Thousand,979
Population Estimates (Persons in April),1963,15 years and over,Female,Thousand,983
Population Estimates (Persons in April),1963,20 - 24 years,Both sexes,Thousand,169
Population Estimates (Persons in April),1963,20 - 24 years,Male,Thousand,86
Population Estimates (Persons in April),1963,20 - 24 years,Female,Thousand,83
Population Estimates (Persons in April),1963,25 - 29 years,Both sexes,Thousand,147
Population Estimates (Persons in April),1963,25 - 29 years,Male,Thousand,74
Population Estimates (Persons in April),1963,25 - 29 years,Female,Thousand,74
Population Estimates (Persons in April),1963,25 - 44 years,Both sexes,Thousand,628
Population Estimates (Persons in April),1963,25 - 44 years,Male,Thousand,312
Population Estimates (Persons in April),1963,25 - 44 years,Female,Thousand,316
Population Estimates (Persons in April),1963,30 - 34 years,Both sexes,Thousand,151
Population Estimates (Persons in April),1963,30 - 34 years,Male,Thousand,75
Population Estimates (Persons in April),1963,30 - 34 years,Female,Thousand,76
Population Estimates (Persons in April),1963,35 - 39 years,Both sexes,Thousand,162
Population Estimates (Persons in April),1963,35 - 39 years,Male,Thousand,80
Population Estimates (Persons in April),1963,35 - 39 years,Female,Thousand,82
Population Estimates (Persons in April),1963,40 - 44 years,Both sexes,Thousand,168
Population Estimates (Persons in April),1963,40 - 44 years,Male,Thousand,84
Population Estimates (Persons in April),1963,40 - 44 years,Female,Thousand,84
Population Estimates (Persons in April),1963,45 - 49 years,Both sexes,Thousand,172
Population Estimates (Persons in April),1963,45 - 49 years,Male,Thousand,87
Population Estimates (Persons in April),1963,45 - 49 years,Female,Thousand,85
Population Estimates (Persons in April),1963,45 - 64 years,Both sexes,Thousand,602
Population Estimates (Persons in April),1963,45 - 64 years,Male,Thousand,305
Population Estimates (Persons in April),1963,45 - 64 years,Female,Thousand,296
Population Estimates (Persons in April),1963,50 - 54 years,Both sexes,Thousand,161
Population Estimates (Persons in April),1963,50 - 54 years,Male,Thousand,83
Population Estimates (Persons in April),1963,50 - 54 years,Female,Thousand,78
Population Estimates (Persons in April),1963,55 - 59 years,Both sexes,Thousand,141
Population Estimates (Persons in April),1963,55 - 59 years,Male,Thousand,72
Population Estimates (Persons in April),1963,55 - 59 years,Female,Thousand,69
Population Estimates (Persons in April),1963,60 - 64 years,Both sexes,Thousand,129
Population Estimates (Persons in April),1963,60 - 64 years,Male,Thousand,64
Population Estimates (Persons in April),1963,60 - 64 years,Female,Thousand,65
Population Estimates (Persons in April),1963,65 - 69 years,Both sexes,Thousand,108
Population Estimates (Persons in April),1963,65 - 69 years,Male,Thousand,53
Population Estimates (Persons in April),1963,65 - 69 years,Female,Thousand,55
Population Estimates (Persons in April),1963,65 years and over,Both sexes,Thousand,319
Population Estimates (Persons in April),1963,65 years and over,Male,Thousand,150
Population Estimates (Persons in April),1963,65 years and over,Female,Thousand,169
Population Estimates (Persons in April),1963,70 - 74 years,Both sexes,Thousand,92
Population Estimates (Persons in April),1963,70 - 74 years,Male,Thousand,44
Population Estimates (Persons in April),1963,70 - 74 years,Female,Thousand,49
Population Estimates (Persons in April),1963,75 - 79 years,Both sexes,Thousand,63
Population Estimates (Persons in April),1963,75 - 79 years,Male,Thousand,29
Population Estimates (Persons in April),1963,75 - 79 years,Female,Thousand,34
Population Estimates (Persons in April),1963,80 - 84 years,Both sexes,Thousand,37
Population Estimates (Persons in April),1963,80 - 84 years,Male,Thousand,16
Population Estimates (Persons in April),1963,80 - 84 years,Female,Thousand,20
Population Estimates (Persons in April),1963,85 years and over,Both sexes,Thousand,19
Population Estimates (Persons in April),1963,85 years and over,Male,Thousand,8
Population Estimates (Persons in April),1963,85 years and over,Female,Thousand,11
Population Estimates (Persons in April),1963,All ages,Both sexes,Thousand,2850
Population Estimates (Persons in April),1963,All ages,Male,Thousand,1433
Population Estimates (Persons in April),1963,All ages,Female,Thousand,1417
Population Estimates (Persons in April),1964,Under 1 year,Both sexes,Thousand,63
Population Estimates (Persons in April),1964,Under 1 year,Male,Thousand,32
